term,korean_label,english_gloss,part_of_speech,primary_axis,secondary_axes,descriptor_type,polarity,intensity,synonym_group,opposite_terms,example_phrases,mapped_existing_objects,candidate_objects,integration_status,notes
가벼운,가벼운,light airy,adjective,density,,axis_descriptor,context_dependent,medium,light_airy,무거운|묵직한,가볍게 떠오르는|공기처럼 뜨는|얇게 지나가는,organza|cold_fog|sea_breeze,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
공기처럼 뜨는,공기처럼 뜨는,light airy,adjective,density,,axis_descriptor,context_dependent,medium,light_airy,무거운|묵직한,가볍게 떠오르는|공기처럼 뜨는|얇게 지나가는,organza|cold_fog|sea_breeze,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
무거운,무거운,heavy dense,adjective,density,,axis_descriptor,context_dependent,medium,heavy_dense,가벼운|비어 있는,묵직하게 깔리는|밀도 있게 남는|무겁게 내려앉는,dark_chocolate|leather|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
묵직한,묵직한,heavy dense,adjective,density,,axis_descriptor,context_dependent,medium,heavy_dense,가벼운|비어 있는,묵직하게 깔리는|밀도 있게 남는|무겁게 내려앉는,dark_chocolate|leather|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
두꺼운,두꺼운,thick compressed,adjective,density,,axis_descriptor,context_dependent,medium,thick_compressed,얇은|성긴,두껍게 감싸는|압축되어 남는|꽉 찬 밀도,velvet|honeycomb|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
압축된,압축된,thick compressed,expression,density,,axis_descriptor,context_dependent,medium,thick_compressed,얇은|성긴,두껍게 감싸는|압축되어 남는|꽉 찬 밀도,velvet|honeycomb|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
비어 있는,비어 있는,empty hollow,adjective,density,,axis_descriptor,context_dependent,medium,empty_hollow,꽉 찬|밀도 있는,비어 있는 듯한|성기게 흩어지는|허공처럼 남는,cold_fog|clean_room,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
성긴,성긴,empty hollow,expression,density,,axis_descriptor,context_dependent,medium,empty_hollow,꽉 찬|밀도 있는,비어 있는 듯한|성기게 흩어지는|허공처럼 남는,cold_fog|clean_room,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
낮게 깔리는,낮게 깔리는,low settled,adjective,density,,axis_descriptor,context_dependent,medium,low_settled,위로 뜨는|가볍게 올라오는,낮게 깔리는 향|바닥에 붙듯 남는|아래로 가라앉는 느낌,forest_floor|wet_moss|tobacco_leaf,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
아래로 가라앉는,아래로 가라앉는,low settled,adjective,density,,axis_descriptor,context_dependent,medium,low_settled,위로 뜨는|가볍게 올라오는,낮게 깔리는 향|바닥에 붙듯 남는|아래로 가라앉는 느낌,forest_floor|wet_moss|tobacco_leaf,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
밝은,밝은,bright clear,expression,light,,axis_descriptor,context_dependent,medium,bright_clear,어두운|희미한,밝게 올라오는|환하게 트이는|빛나듯 퍼지는,citrus_peel|four_k_clarity|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
환한,환한,bright clear,adjective,light,,axis_descriptor,context_dependent,medium,bright_clear,어두운|희미한,밝게 올라오는|환하게 트이는|빛나듯 퍼지는,citrus_peel|four_k_clarity|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
어두운,어두운,dark low,adjective,light,,axis_descriptor,context_dependent,medium,dark_low,밝은|투명한,어둡게 깔리는|빛을 삼키는|검은빛으로 남는,dark_chocolate|tobacco_leaf|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
검은빛의,검은빛의,dark low,expression,light,,axis_descriptor,context_dependent,medium,dark_low,밝은|투명한,어둡게 깔리는|빛을 삼키는|검은빛으로 남는,dark_chocolate|tobacco_leaf|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
윤이 나는,윤이 나는,glossy shiny,adjective,light,,axis_descriptor,context_dependent,medium,glossy_shiny,매트한|탁한,윤이 나게 흐르는|반짝이며 남는|광택 있게 비치는,marble|silver_spoon|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
반짝이는,반짝이는,glossy shiny,adjective,light,,axis_descriptor,context_dependent,medium,glossy_shiny,매트한|탁한,윤이 나게 흐르는|반짝이며 남는|광택 있게 비치는,marble|silver_spoon|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
매트한,매트한,matte flat,adjective,light,,axis_descriptor,context_dependent,medium,matte_flat,반짝이는|윤이 나는,매트하게 깔리는|광택 없이 차분한|빛을 누르는,slate|suede|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
광택 없는,광택 없는,matte flat,adjective,light,,axis_descriptor,context_dependent,medium,matte_flat,반짝이는|윤이 나는,매트하게 깔리는|광택 없이 차분한|빛을 누르는,slate|suede|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
희미한,희미한,dim faint,adjective,light,,axis_descriptor,context_dependent,medium,dim_faint,선명한|환한,희미하게 남는|낮은 조명 같은|흐린 빛으로 감싸는,film_grain|old_library|late_night_air,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
흐린 빛의,흐린 빛의,dim faint,noun_phrase,light,,axis_descriptor,context_dependent,medium,dim_faint,선명한|환한,희미하게 남는|낮은 조명 같은|흐린 빛으로 감싸는,film_grain|old_library|late_night_air,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
투명한,투명한,transparent clear,adjective,clarity,,axis_descriptor,context_dependent,medium,transparent_clear,탁한|흐릿한,투명하게 보이는|맑게 올라오는|깨끗하게 정리되는,crystal|winter_dawn|mountain_stream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
맑은,맑은,transparent clear,expression,clarity,,axis_descriptor,context_dependent,medium,transparent_clear,탁한|흐릿한,투명하게 보이는|맑게 올라오는|깨끗하게 정리되는,crystal|winter_dawn|mountain_stream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
탁한,탁한,cloudy muddy,adjective,clarity,,axis_descriptor,context_dependent,medium,cloudy_muddy,투명한|선명한,탁하게 번지는|뿌옇게 덮이는|혼탁하게 남는,rain_on_asphalt|cold_fog|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
혼탁한,혼탁한,cloudy muddy,adjective,clarity,,axis_descriptor,context_dependent,medium,cloudy_muddy,투명한|선명한,탁하게 번지는|뿌옇게 덮이는|혼탁하게 남는,rain_on_asphalt|cold_fog|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
선명한,선명한,sharp focused,adjective,clarity,,axis_descriptor,context_dependent,medium,sharp_focused,흐릿한|퍼진,선명하게 잡히는|초점이 맞은 듯한|또렷하게 보이는,four_k_clarity|cut_diamond|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
초점이 맞은,초점이 맞은,sharp focused,noun_phrase,clarity,,axis_descriptor,context_dependent,medium,sharp_focused,흐릿한|퍼진,선명하게 잡히는|초점이 맞은 듯한|또렷하게 보이는,four_k_clarity|cut_diamond|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
흐릿한,흐릿한,blurred softfocus,adjective,clarity,,axis_descriptor,context_dependent,medium,blurred_softfocus,4K 같은|또렷한,흐릿하게 남는|초점이 풀리는|soft-focus처럼 번지는,film_grain|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
초점이 풀린,초점이 풀린,blurred softfocus,noun_phrase,clarity,,axis_descriptor,context_dependent,medium,blurred_softfocus,4K 같은|또렷한,흐릿하게 남는|초점이 풀리는|soft-focus처럼 번지는,film_grain|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
정돈된,정돈된,clean ordered,expression,clarity,,axis_descriptor,context_dependent,medium,clean_ordered,산만한|탁한,정돈되어 보이는|단정하게 떨어지는|잡음 없이 맑은,clean_room|fresh_linen|four_k_clarity,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
단정한,단정한,clean ordered,adjective,clarity,,axis_descriptor,context_dependent,medium,clean_ordered,산만한|탁한,정돈되어 보이는|단정하게 떨어지는|잡음 없이 맑은,clean_room|fresh_linen|four_k_clarity,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
퍼지는,퍼지는,spreading,adjective,motion,,motion_descriptor,context_dependent,medium,spreading,가라앉는|멈춘,넓게 퍼지는|옆으로 번지는|공기 중에 열리는,sea_breeze|citrus_peel|cold_fog,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
번지는,번지는,spreading,adjective,motion,,motion_descriptor,context_dependent,medium,spreading,가라앉는|멈춘,넓게 퍼지는|옆으로 번지는|공기 중에 열리는,sea_breeze|citrus_peel|cold_fog,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
감싸는,감싸는,wrapping,adjective,motion,,motion_descriptor,context_dependent,medium,wrapping,날카롭게 끊기는|튀는,몸을 감싸는|부드럽게 두르는|담요처럼 덮는,cashmere|wool_blanket|warm_cotton,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
두르는,두르는,wrapping,adjective,motion,,motion_descriptor,context_dependent,medium,wrapping,날카롭게 끊기는|튀는,몸을 감싸는|부드럽게 두르는|담요처럼 덮는,cashmere|wool_blanket|warm_cotton,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
스며드는,스며드는,seeping,adjective,motion,,motion_descriptor,context_dependent,medium,seeping,튄다|금방 사라진다,천천히 스며드는|표면에 배어드는|조용히 젖어드는,wet_moss|honeycomb|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
배어드는,배어드는,seeping,adjective,motion,,motion_descriptor,context_dependent,medium,seeping,튄다|금방 사라진다,천천히 스며드는|표면에 배어드는|조용히 젖어드는,wet_moss|honeycomb|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
올라오는,올라오는,rising,adjective,motion,,motion_descriptor,context_dependent,medium,rising,가라앉는|낮게 깔리는,위로 올라오는|코끝으로 솟는|가볍게 뜨는,mountain_stream|green_stem|citrus_peel,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
솟는,솟는,rising,adjective,motion,,motion_descriptor,context_dependent,medium,rising,가라앉는|낮게 깔리는,위로 올라오는|코끝으로 솟는|가볍게 뜨는,mountain_stream|green_stem|citrus_peel,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
가라앉는,가라앉는,settling,adjective,motion,,motion_descriptor,context_dependent,medium,settling,튀는|위로 뜨는,낮게 가라앉는|바닥에 머무는|천천히 내려앉는,forest_floor|tobacco_leaf|dark_chocolate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
낮게 머무는,낮게 머무는,settling,adjective,motion,,motion_descriptor,context_dependent,medium,settling,튀는|위로 뜨는,낮게 가라앉는|바닥에 머무는|천천히 내려앉는,forest_floor|tobacco_leaf|dark_chocolate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
처음엔 강한,처음엔 강한,first strong,adjective,time,,finish_descriptor,context_dependent,medium,first_strong,뒤늦게 올라오는|천천히 남는,처음엔 강하게 오는|첫인상이 선명한|초반에 튀는,citrus_peel|four_k_clarity,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
첫인상이 센,첫인상이 센,first strong,noun_phrase,time,,finish_descriptor,context_dependent,medium,first_strong,뒤늦게 올라오는|천천히 남는,처음엔 강하게 오는|첫인상이 선명한|초반에 튀는,citrus_peel|four_k_clarity,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
뒤늦게 올라오는,뒤늦게 올라오는,late rising,adjective,time,,finish_descriptor,context_dependent,medium,late_rising,처음부터 강한|짧게 끊기는,뒤늦게 올라오는|나중에 보이는|시간차를 두고 남는,black_tea|tobacco_leaf|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
나중에 보이는,나중에 보이는,late rising,adjective,time,,finish_descriptor,context_dependent,medium,late_rising,처음부터 강한|짧게 끊기는,뒤늦게 올라오는|나중에 보이는|시간차를 두고 남는,black_tea|tobacco_leaf|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
오래된,오래된,aging old,expression,time,,finish_descriptor,context_dependent,medium,aging_old,새것 같은|갓 세탁한,시간이 밴|숙성되어 남는|오래된 공간 같은,old_library|old_wood|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
시간이 밴,시간이 밴,aging old,noun_phrase,time,,finish_descriptor,context_dependent,medium,aging_old,새것 같은|갓 세탁한,시간이 밴|숙성되어 남는|오래된 공간 같은,old_library|old_wood|barrel_cellar,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
갓 만든,갓 만든,fresh now,noun_phrase,time,,finish_descriptor,context_dependent,medium,fresh_now,낡은|숙성된,막 지나간 비처럼|갓 세탁한 듯한|새롭게 올라오는,fresh_linen|after_rain_garden|rain_on_asphalt,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
막 지나간,막 지나간,fresh now,noun_phrase,time,,finish_descriptor,context_dependent,medium,fresh_now,낡은|숙성된,막 지나간 비처럼|갓 세탁한 듯한|새롭게 올라오는,fresh_linen|after_rain_garden|rain_on_asphalt,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
겨울 같은,겨울 같은,seasonal memory,adjective,time,,finish_descriptor,context_dependent,medium,seasonal_memory,무시간적인|중립적인,겨울 새벽 같은|여름 정오 같은|계절이 떠오르는,winter_dawn|summer_noon,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
여름 같은,여름 같은,seasonal memory,adjective,time,,finish_descriptor,context_dependent,medium,seasonal_memory,무시간적인|중립적인,겨울 새벽 같은|여름 정오 같은|계절이 떠오르는,winter_dawn|summer_noon,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
오래 남는,오래 남는,long lingering,adjective,finish,,finish_descriptor,context_dependent,medium,long_lingering,금방 사라지는|짧게 끊기는,오래 남는 향|여운이 길게 이어지는|잔향이 길다,tobacco_leaf|barrel_cellar|dark_chocolate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
여운이 긴,여운이 긴,long lingering,noun_phrase,finish,,finish_descriptor,context_dependent,medium,long_lingering,금방 사라지는|짧게 끊기는,오래 남는 향|여운이 길게 이어지는|잔향이 길다,tobacco_leaf|barrel_cellar|dark_chocolate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
금방 사라지는,금방 사라지는,short clean,adjective,finish,,finish_descriptor,context_dependent,medium,short_clean,오래 남는|끈적하게 붙는,짧게 끊기는|깨끗하게 떨어지는|금방 사라지는,fresh_linen|clean_room|citrus_peel,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
짧게 끊기는,짧게 끊기는,short clean,adjective,finish,,finish_descriptor,context_dependent,medium,short_clean,오래 남는|끈적하게 붙는,짧게 끊기는|깨끗하게 떨어지는|금방 사라지는,fresh_linen|clean_room|citrus_peel,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
잔상이 남는,잔상이 남는,afterimage,adjective,finish,,finish_descriptor,context_dependent,medium,afterimage,즉시 사라지는|선명하게 끊기는,잔상이 남는|기억처럼 남는|장면이 남는 향,film_grain|old_library|late_night_air,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
기억처럼 남는,기억처럼 남는,afterimage,adjective,finish,,finish_descriptor,context_dependent,medium,afterimage,즉시 사라지는|선명하게 끊기는,잔상이 남는|기억처럼 남는|장면이 남는 향,film_grain|old_library|late_night_air,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
뒤로 갈수록 둥근,뒤로 갈수록 둥근,drydown round,noun_phrase,finish,,finish_descriptor,context_dependent,medium,drydown_round,끝이 날카로운|짧게 끊기는,뒤로 갈수록 둥근|마지막이 부드러운|끝이 포근한,vanilla_cream|warm_cotton|cashmere,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
마지막이 부드러운,마지막이 부드러운,drydown round,adjective,finish,,finish_descriptor,context_dependent,medium,drydown_round,끝이 날카로운|짧게 끊기는,뒤로 갈수록 둥근|마지막이 부드러운|끝이 포근한,vanilla_cream|warm_cotton|cashmere,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
끝이 마른,끝이 마른,dry finish,noun_phrase,finish,,finish_descriptor,context_dependent,medium,dry_finish,시럽 같은|크리미한,끝이 마른|드라이하게 사라지는|입안을 조이며 끝나는,black_tea|dry_herb|charred_oak,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
드라이하게 끝나는,드라이하게 끝나는,dry finish,adjective,finish,,finish_descriptor,context_dependent,medium,dry_finish,시럽 같은|크리미한,끝이 마른|드라이하게 사라지는|입안을 조이며 끝나는,black_tea|dry_herb|charred_oak,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
넓은,넓은,wide open,expression,space,,axis_descriptor,context_dependent,medium,wide_open,좁은|답답한,넓게 열린 공기|탁 트인 느낌|수평으로 퍼지는,sea_breeze|summer_noon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
탁 트인,탁 트인,wide open,noun_phrase,space,,axis_descriptor,context_dependent,medium,wide_open,좁은|답답한,넓게 열린 공기|탁 트인 느낌|수평으로 퍼지는,sea_breeze|summer_noon,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
좁은,좁은,narrow enclosed,expression,space,,axis_descriptor,context_dependent,medium,narrow_enclosed,넓은|야외적인,좁게 갇힌|닫힌 공간 같은|밀폐된 공기,old_library|barrel_cellar|clean_room,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
닫힌,닫힌,narrow enclosed,expression,space,,axis_descriptor,context_dependent,medium,narrow_enclosed,넓은|야외적인,좁게 갇힌|닫힌 공간 같은|밀폐된 공기,old_library|barrel_cellar|clean_room,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
실내적인,실내적인,indoor,adjective,space,,axis_descriptor,context_dependent,medium,indoor,야외적인|해안가의,실내적인 공기|방 안에 머무는|정돈된 공간 같은,clean_room|old_library|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
방 안 같은,방 안 같은,indoor,adjective,space,,axis_descriptor,context_dependent,medium,indoor,야외적인|해안가의,실내적인 공기|방 안에 머무는|정돈된 공간 같은,clean_room|old_library|barrel_cellar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
야외적인,야외적인,outdoor,adjective,space,,axis_descriptor,context_dependent,medium,outdoor,실내적인|밀폐된,야외 공기 같은|바깥에서 들어오는|자연에 열린 느낌,sea_breeze|forest_floor|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
바깥 공기의,바깥 공기의,outdoor,noun_phrase,space,,axis_descriptor,context_dependent,medium,outdoor,실내적인|밀폐된,야외 공기 같은|바깥에서 들어오는|자연에 열린 느낌,sea_breeze|forest_floor|after_rain_garden,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
바닥 가까운,바닥 가까운,low grounded,adjective,space,,axis_descriptor,context_dependent,medium,low_grounded,공중에 뜬|높게 열리는,바닥 가까이 남는|지면에 붙어 있는|낮은 공간감,forest_floor|rain_on_asphalt|wet_stone,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
낮은 공간의,낮은 공간의,low grounded,noun_phrase,space,,axis_descriptor,context_dependent,medium,low_grounded,공중에 뜬|높게 열리는,바닥 가까이 남는|지면에 붙어 있는|낮은 공간감,forest_floor|rain_on_asphalt|wet_stone,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
고요한,고요한,calm quiet,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,calm_quiet,산만한|튀는,고요하게 남는|차분하게 가라앉는|조용한 분위기,late_night_air|old_library|slate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
차분한,차분한,calm quiet,adjective,atmosphere,,atmosphere_descriptor,context_dependent,medium,calm_quiet,산만한|튀는,고요하게 남는|차분하게 가라앉는|조용한 분위기,late_night_air|old_library|slate,,modifier_candidate,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
