domain,vocabulary_type,term,korean_label,sensory_family,mapped_existing_objects,candidate_object_id,core_axes,suggested_phrase_cues,negative_cues,integration_status,notes
fragrance,atmosphere_descriptor,rain,비,Rain / Air,rain_on_asphalt|after_rain_garden|cold_fog,,time=After-rain; texture=Moist; atmosphere=Rainy,비 온 뒤 공기|젖은 표면의 냄새|물기 어린 잔향,burnt sugar|vanilla|leather,axis_descriptor,문맥에 따라 object 분기 필요
fragrance,note,wet soil,젖은 흙,Earth / Rain,forest_floor|after_rain_garden,wet_soil,temperature=Cool; texture=Moist; atmosphere=Earthy,비 맞은 흙 냄새|젖은 정원 바닥|흙이 숨 쉬는 듯한 향,clean laundry|metallic|vanilla,candidate_object,earthy 후보
whisky,tasting_descriptor,peat smoke,피트 스모크,Smoke,fireplace_ash|charred_oak,peat_smoke,texture=Dry; atmosphere=Dark; motion=Linger,젖은 흙과 연기가 섞인 느낌|꺼지지 않은 스모키함|짙고 건조한 연기,fresh_linen|citrus|clean_room,candidate_object,위스키 도메인 후보
whisky,tasting_descriptor,fireplace ash,벽난로 재,Smoke / Ash,fireplace_ash,,texture=Powdery; atmosphere=Dark; density=Light,식은 벽난로 재|회색 가루 연기|불 꺼진 뒤의 잔향,citrus|laundry|green,existing_object,기존 object
whisky,tasting_descriptor,charred oak,그을린 오크,Wood / Smoke,charred_oak,,texture=Dry; atmosphere=Barrel Cellar; time=Roasted,탄 오크통 안쪽|달큰하게 그을린 나무|드라이한 탄 목재,fresh_linen|aquatic|citrus,existing_object,기존 object
whisky,accord,sherry cask,셰리 캐스크,Cask / Dried Fruit,barrel_cellar|dark_chocolate,sherry_dried_fruit,temperature=Warm; density=Thick; atmosphere=Aged,말린 과일과 오크통|어둡고 달큰한 숙성감|진한 셰리 캐스크 느낌,clean_room|sea_breeze|green stem,candidate_object,dried fruit cask 후보
whisky,accord,bourbon cask,버번 캐스크,Vanilla / Oak,vanilla_cream|charred_oak,bourbon_vanilla_oak,temperature=Warm; texture=Smooth; atmosphere=Barrel,바닐라와 오크가 섞인 향|달큰한 통나무 느낌|부드럽게 그을린 버번 캐스크,wet_stone|sea_breeze|green pepper,candidate_object,vanilla oak 후보
whisky,tasting_descriptor,vanilla cream,바닐라 크림,Sweet / Cream,vanilla_cream,,temperature=Warm; texture=Smooth; density=Soft,바닐라 크림|하얗고 둥근 단맛|부드러운 단향,smoke|metallic|iodine,existing_object,기존 object
whisky,tasting_descriptor,burnt sugar,탄 설탕,Caramelized,burnt_sugar,,temperature=Warm; texture=Sticky; light=Dark,탄 설탕|카라멜 가장자리|어둡고 달큰한 잔향,green|mineral|clean,existing_object,기존 object
whisky,tasting_descriptor,dried fruit,말린 과일,Dried Fruit,tobacco_leaf|dark_chocolate,sherry_dried_fruit,temperature=Warm; density=Dense; atmosphere=Aged,건포도처럼 말린 단맛|짙게 졸아든 과일|어두운 과일 잔향,fresh_linen|ozonic|green stem,candidate_object,와인/위스키 공통
whisky,note,raisin,건포도,Dried Fruit,dark_chocolate|tobacco_leaf,sherry_dried_fruit,temperature=Warm; texture=Sticky; density=Dense,건포도 같은 진한 단맛|검게 말린 과일 향|셰리 같은 농도,citrus|clean_room|green,candidate_object,dried fruit 하위
whisky,note,fig,무화과,Fruit / Dried,honeycomb|green_stem,fig_leaf_green,temperature=Warm; texture=Soft; atmosphere=Green,무화과의 푸른 단맛|말린 무화과의 밀도|잎과 과육 사이의 향,metallic|ash|ozonic,candidate_object,fragrance와 공유
whisky,tasting_descriptor,dark chocolate,다크 초콜릿,Cocoa,dark_chocolate,,temperature=Warm; density=Dense; texture=Dry,다크 초콜릿|카카오 가루|쌉쌀한 단맛,aquatic|laundry|green,existing_object,기존 object
whisky,note,malt,몰트,Cereal,butter_toast|roasted_almond,malt_cereal_warmth,temperature=Warm; texture=Grainy; atmosphere=Bakery,따뜻한 곡물 향|맥아의 고소함|마른 시리얼 같은 단맛,iodine|metallic|green stem,candidate_object,grain/cereal 후보
whisky,note,cereal,시리얼,Cereal,butter_toast|warm_cotton,malt_cereal_warmth,temperature=Warm; texture=Dry; light=Golden,마른 곡물 향|따뜻하고 고소한 시리얼|바삭한 곡물 잔향,smoke|mineral|wet,candidate_object,malt와 연결
whisky,note,honey,꿀,Honey,honeycomb,,temperature=Warm; texture=Sticky; light=Golden,꿀 같은 점성|금빛 단맛|천천히 남는 달콤함,metallic|green|ash,existing_object,기존 object
whisky,note,heather,헤더꽃,Floral / Herbal,dry_herb|honeycomb,heather_honey_air,temperature=Warm; texture=Dry; atmosphere=Field,마른 꽃과 꿀 사이의 향|들판의 허브 단맛|가볍고 따뜻한 꽃꿀,metallic|barrel|asphalt,candidate_object,whisky floral 후보
whisky,tasting_descriptor,sea salt,바다 소금,Salty / Coastal,sea_breeze,iodine_coast,temperature=Cool; texture=Dry; atmosphere=Seaside,짭짤한 해안 공기|소금기 어린 끝맛|바다 근처의 건조한 짠맛,vanilla|cream|tobacco,candidate_object,coastal axis 후보
whisky,note,iodine,아이오딘,Medicinal / Coastal,sea_breeze|silver_spoon,iodine_coast,temperature=Cool; texture=Sharp; atmosphere=Coastal,약품 같은 바다 냄새|짠 금속성과 해안 공기|차갑고 날카로운 해양감,vanilla|honey|cream,candidate_object,medicinal/coastal 후보
whisky,accord,coastal air,해안 공기,Coastal,sea_breeze,iodine_coast,temperature=Cool; motion=Spread; atmosphere=Seaside,해안가의 찬 공기|넓게 퍼지는 짠 바람|바다에서 밀려오는 냉기,barrel|leather|dark chocolate,candidate_object,sea_breeze와 연결
whisky,note,leather,가죽,Leather,leather,,texture=Dry; density=Dense; atmosphere=Aged,오래된 가죽|마른 재킷|동물성 드라이함,citrus|clean|aquatic,existing_object,기존 object
whisky,note,tobacco,담배잎,Tobacco,tobacco_leaf,,texture=Dry; density=Dense; atmosphere=Aged,담뱃잎|마른 갈색 잎|달큰하고 어두운 식물감,fresh_linen|citrus|ozonic,existing_object,기존 object
whisky,tasting_descriptor,nutty,견과류 같은,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; atmosphere=Roasted,구운 견과의 고소함|마른 견과 가루|따뜻한 너티함,aquatic|metallic|green,candidate_object,coffee와 공유
whisky,note,almond,아몬드,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; light=Golden,구운 아몬드|고소한 견과 향|따뜻한 아몬드 가루,sea_breeze|cold_metal|green,existing_object,기존 roasted_almond와 연결
whisky,tasting_descriptor,spice,스파이스,Spice,dry_herb|charred_oak,dry_spice,temperature=Warm; texture=Dry; motion=Linger,마른 향신료|따뜻하고 톡 쏘는 잔향|드라이한 스파이스,aquatic|clean_room|cream,candidate_object,넓은 descriptor
whisky,note,cinnamon,시나몬,Sweet Spice,burnt_sugar|dry_herb,sweet_spice,temperature=Warm; texture=Powdery; atmosphere=Sweet,달큰한 계피 가루|따뜻한 스파이스 단맛|부드럽게 맴도는 향신료,metallic|wet stone|ozonic,candidate_object,sweet spice 후보
whisky,note,clove,클로브,Dark Spice,charred_oak|tobacco_leaf,dry_spice,temperature=Warm; texture=Sharp; atmosphere=Dark,어둡고 날카로운 향신료|마른 정향의 톡 쏨|따뜻하지만 드라이한 스파이스,fresh_linen|aquatic|cream,candidate_object,dark spice 후보
whisky,tasting_descriptor,oak tannin,오크 타닌,Wood / Tannin,cedarwood|charred_oak,oak_tannin_dryness,temperature=Warm; texture=Dry; motion=Grip,입안을 조이는 마른 오크|나무결 같은 드라이함|떫고 단단한 목재감,cream|honey|laundry,candidate_object,tannin과 oak 경계
whisky,accord,barrel cellar,오크통 숙성고,Cellar,barrel_cellar,,temperature=Cool; density=Thick; atmosphere=Aged,오크통 숙성고|어둡고 습한 나무|두꺼운 숙성감,clean_room|sea_breeze|citrus,existing_object,기존 object
whisky,tasting_descriptor,medicinal,약품 같은,Medicinal,silver_spoon|cold_metal,medicinal_smoke,temperature=Cool; texture=Sharp; atmosphere=Clinical,약품 같은 차가움|차갑고 날카로운 병원 느낌|스모키함 속의 약품감,vanilla|honey|cashmere,candidate_object,위스키에서 리뷰 필요
whisky,texture_descriptor,waxiness,왁시함,Wax / Polish,old_library|silver_spoon,wax_polish,texture=Smooth; light=Soft Gloss; density=Medium,왁스로 닦은 표면|매끈한 밀랍 광택|오래된 가구의 윤기,asphalt|green stem|sharp citrus,candidate_object,texture candidate
wine,tasting_descriptor,red fruit,붉은 과일,Fruit,honeycomb,red_fruit_juiciness,temperature=Warm; texture=Juicy; light=Ruby,붉은 과일의 산뜻한 과즙|체리 같은 밝은 단맛|가볍게 터지는 붉은 향,smoke|leather|mineral,candidate_object,wine fruit 후보
wine,tasting_descriptor,black fruit,검은 과일,Fruit / Dense,dark_chocolate,black_fruit_density,temperature=Warm; density=Dense; light=Dark,검은 과일의 짙은 밀도|블랙베리 같은 어두운 단맛|두껍게 깔리는 과실감,clean|citrus|green,candidate_object,dense fruit 후보
wine,tasting_descriptor,citrus,시트러스,Citrus,citrus_peel,bergamot_brightness,temperature=Cool; texture=Sharp; light=Bright,차갑고 밝은 산미|감귤 껍질의 쌉싸름함|선명한 시트러스 끝맛,cream|smoke|leather,candidate_object,citrus_peel 확장
wine,tasting_descriptor,stone fruit,핵과류,Fruit / Glow,honeycomb|vanilla_cream,stone_fruit_glow,temperature=Warm; light=Golden; texture=Soft,복숭아 살처럼 부드러운 빛|살구 같은 금빛 과실감|둥글게 익은 핵과류 향,metallic|asphalt|ash,candidate_object,wine/coffee shared
wine,tasting_descriptor,dried fruit,말린 과일,Dried Fruit,tobacco_leaf|dark_chocolate,sherry_dried_fruit,temperature=Warm; density=Dense; time=Aged,말린 과일의 진한 단맛|건포도 같은 농도|오래 묵은 과실감,fresh|green|clean,candidate_object,whisky와 공유
wine,family,floral,플로럴,Floral,velvet|organza,,light=Soft Glow; atmosphere=Perfumed,꽃향|부드러운 꽃잎|향수 같은 플로럴,smoke|asphalt|tannin,axis_descriptor,구체 object로 분화 필요
wine,note,violet,바이올렛,Floral / Powdery,velvet|film_grain,powder_cloud,texture=Powdery; light=Diffuse; atmosphere=Muted,바이올렛 같은 보랏빛 향|가루처럼 흐린 꽃향|조용한 플로럴 잔향,aquatic|smoke|mineral,candidate_object,fragrance와 공유
wine,note,rose,장미,Floral,velvet,rose_petal_glow,temperature=Warm; texture=Soft; light=Ruby,장미 꽃잎 같은 향|붉고 부드러운 플로럴|촉촉한 꽃의 빛,metallic|ash|green pepper,candidate_object,fragrance와 공유
wine,tasting_descriptor,herbal,허브 느낌,Herbal,dry_herb|green_stem,herbal_bitterness,temperature=Cool; texture=Dry; atmosphere=Green,마른 허브의 씁쓸함|잎과 줄기의 드라이함|식물성 쌉싸름함,vanilla|cream|toast,candidate_object,axis/candidate 경계
wine,tasting_descriptor,grassy,풀잎 같은,Green,green_stem|dry_herb,green_leaf_crush,temperature=Cool; texture=Crisp; atmosphere=Garden,풀을 막 꺾은 냄새|아삭한 초록 풋내|젖은 풀잎의 향,barrel|leather|chocolate,candidate_object,green stem과 연결
wine,note,green pepper,피망,Green / Pyrazine,green_stem,green_pepper_snap,temperature=Cool; texture=Crisp; light=Green,피망처럼 아삭한 초록 향|날카로운 녹색 풋내|줄기보다 더 또렷한 그린감,vanilla|toast|amber,candidate_object,와인 green descriptor 후보
wine,tasting_descriptor,earthy,흙내,Earth,forest_floor|wet_soil,wet_soil,temperature=Cool; texture=Moist; atmosphere=Earthy,젖은 흙의 낮은 향|숲 바닥 같은 흙내|비 온 뒤 흙의 습도,clean|citrus|metallic,candidate_object,earthy 후보
wine,accord,forest floor,숲 바닥,Forest / Earth,forest_floor,,temperature=Cool; density=Dense; atmosphere=Forest,숲 바닥|젖은 낙엽|흙과 나무껍질,clean_room|citrus|metallic,existing_object,기존 object
wine,accord,wet stone,젖은 돌,Mineral,wet_stone,,temperature=Cool; texture=Moist; atmosphere=Mineral,젖은 돌|비 맞은 바위|차가운 광물감,vanilla|leather|cream,existing_object,기존 object
wine,tasting_descriptor,minerality,미네랄리티,Mineral,wet_stone|slate,mineral_spark,temperature=Cool; texture=Hard; light=Clear,차가운 미네랄감|돌에서 오는 선명함|입안의 광물성 긴장감,cream|jammy|honey,candidate_object,axis/candidate 경계
wine,note,oak,오크,Wood,cedarwood|charred_oak,oak_tannin_dryness,texture=Dry; density=Medium; atmosphere=Aged,오크 나무결|마른 목재감|숙성된 나무 향,citrus|aquatic|green stem,candidate_object,context에 따라 cedar/charred로 분기
wine,note,vanilla,바닐라,Sweet / Oak,vanilla_cream,,temperature=Warm; texture=Smooth; density=Soft,바닐라 크림|둥근 단맛|부드러운 오크 단향,mineral|green|metallic,existing_object,기존 object
wine,note,toast,토스트,Toasted,butter_toast|charred_oak,,temperature=Warm; texture=Dry; time=Roasted,토스트 향|노릇한 빵|구운 가장자리,green|mineral|floral,existing_object,기존 butter_toast/charred_oak
wine,texture_descriptor,tannin,타닌,Tannin / Texture,charred_oak|black_tea,wine_tannin_grip,texture=Dry; motion=Grip; density=Medium,입안을 조이는 드라이함|혀에 남는 떫은 질감|껍질처럼 잡아당기는 느낌,cream|soft|syrupy,candidate_object,wine axis 후보
wine,tasting_descriptor,acidity,산미,Acid / Lift,citrus_peel|mountain_stream,wine_acidity_lift,temperature=Cool; motion=Rise; texture=Sharp,위로 들어 올리는 산미|입안을 밝히는 차가움|선명하게 튀는 신맛,heavy|smoky|creamy,candidate_object,axis descriptor로도 사용
wine,texture_descriptor,body,바디,Body / Density,,syrupy_body,density=Thick; texture=Round; motion=Linger,입안에 차오르는 무게|둥글고 두꺼운 질감|가볍지 않은 중심감,thin|sharp|airy,axis_descriptor,주로 density axis
wine,tasting_descriptor,finish,피니시,Finish,,clean_finish,motion=Linger; rendering=Afterimage; density=Light,끝에 남는 잔향|깨끗하게 떨어지는 마무리|길게 이어지는 여운,muddy|heavy|sticky,axis_descriptor,time/motion axis 후보
wine,tasting_descriptor,jammy,잼 같은,Fruit / Sweet,honeycomb|burnt_sugar,black_fruit_density,temperature=Warm; density=Thick; texture=Sticky,잼처럼 진한 과일 단맛|끈적하게 농축된 과실감|익은 과일이 두껍게 남는 느낌,green|mineral|clean,candidate_object,fruit density와 연결
wine,tasting_descriptor,leathery,가죽 같은,Leather,leather|suede,,texture=Dry; atmosphere=Aged; density=Dense,가죽 같은 숙성감|오래된 가죽 향|동물성 드라이함,fresh|citrus|aquatic,existing_object,기존 leather/suede
wine,tasting_descriptor,spicy,스파이시,Spice,dry_herb|charred_oak,dry_spice,temperature=Warm; texture=Sharp; motion=Linger,따뜻한 향신료감|드라이하고 톡 쏘는 끝맛|오크에서 오는 스파이스,clean|aquatic|cream,candidate_object,spice family
coffee,tasting_descriptor,roasted nut,구운 견과,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; atmosphere=Roasted,구운 견과의 따뜻한 향|고소한 로스팅 잔향|마른 견과 가루감,aquatic|green|metallic,candidate_object,coffee nutty 후보
coffee,note,almond,아몬드,Nutty,roasted_almond,coffee_roasted_nut,temperature=Warm; texture=Dry; light=Golden,아몬드 같은 고소함|구운 아몬드 잔향|따뜻한 견과 향,sea_breeze|clean_room|green,existing_object,기존 object
coffee,note,hazelnut,헤이즐넛,Nutty,roasted_almond|dark_chocolate,coffee_roasted_nut,temperature=Warm; texture=Smooth; atmosphere=Roasted,헤이즐넛처럼 둥근 고소함|부드러운 견과 단맛|초콜릿과 붙는 너티함,mineral|ozonic|green stem,candidate_object,nutty 하위
coffee,note,dark chocolate,다크 초콜릿,Cocoa,dark_chocolate,coffee_cocoa_depth,temperature=Warm; density=Dense; light=Dark,카카오 같은 깊이|다크 초콜릿의 쌉쌀함|어둡고 건조한 코코아,citrus|clean|green,candidate_object,coffee cocoa candidate
coffee,note,cocoa,코코아,Cocoa,dark_chocolate,coffee_cocoa_depth,temperature=Warm; texture=Powdery; density=Medium,코코아 가루 같은 쌉쌀함|마른 초콜릿 향|부드럽지만 드라이한 카카오,aquatic|floral|metallic,candidate_object,cocoa descriptor
coffee,note,caramel,카라멜,Caramel,burnt_sugar,,temperature=Warm; texture=Sticky; light=Golden,카라멜 같은 달큰함|녹은 설탕의 깊이|끈적한 단맛,green|mineral|clean,existing_object,burnt_sugar와 연결
coffee,note,brown sugar,브라운 슈거,Brown Sugar,burnt_sugar|honeycomb,golden_density,temperature=Warm; density=Thick; texture=Sticky,갈색 설탕의 따뜻한 단맛|묵직한 당밀감|금빛으로 두꺼운 단향,metallic|ozonic|green,candidate_object,sweet density 후보
coffee,tasting_descriptor,citrus acidity,시트러스 산미,Acidity,citrus_peel,wine_acidity_lift,temperature=Cool; texture=Sharp; motion=Rise,감귤처럼 밝은 산미|입안을 들어 올리는 시트러스|차갑고 선명한 신맛,smoke|cream|leather,candidate_object,wine acidity와 공유
coffee,tasting_descriptor,berry acidity,베리 산미,Fruit / Acidity,honeycomb,coffee_berry_acidity,temperature=Cool; texture=Juicy; motion=Rise,베리처럼 톡 튀는 산미|붉은 과일의 밝은 신맛|가볍게 올라오는 과실 산미,smoke|barrel|leather,candidate_object,coffee fruit acidity 후보
coffee,tasting_descriptor,floral,플로럴,Floral,organza|fresh_linen,,light=Soft Glow; atmosphere=Perfumed,꽃처럼 가볍게 피는 향|부드러운 플로럴|공기 중에 떠오르는 꽃향,smoke|earth|leather,axis_descriptor,domain family descriptor
coffee,note,jasmine,재스민,Floral,organza|fresh_linen,jasmine_lift,temperature=Warm; motion=Rise; light=Soft Glow,재스민처럼 떠오르는 향|하얀 꽃의 밝은 잔향|차처럼 맑은 플로럴,asphalt|smoke|metallic,candidate_object,fragrance와 공유
